name,address,city,state_code,zip,phone,website,sources,verdict,reason,approved
Pete Carlsons Golf And Tennis Shop,73 741 HWY 111,PALM DESERT,CA,92260,,,ping,new,,yes
Ifit Golf,11511 FOLSOM BLVD,RANCHO CORDOVA,CA,95742-6300,,,ping,new,,yes
Stadium Golf Center,2990 MURPHY CANYON RD,SAN DIEGO,CA,92123-2651,8582776667,,ping,new,,yes
The Santaluz Club,8170 CAMINITO SANTALUZ E,SAN DIEGO,CA,92127-2577,,,ping,new,,yes
The Golf Klub,3313 STATE ST,SANTA BARBARA,CA,93105-2623,,,ping,new,,yes
Back 9 Golf Shop,9303 THORNTON RD,STOCKTON,CA,95209-1849,209-490-4110,,ping,new,,yes
Haggin Oaks Golf Super Shop,3645 Fulton Ave,Sacramento,CA,95821,+1916-808-2526,https://www.hagginoaks.com/super-shop/?utm_source=google_business_profile&utm_medium=organic&utm_campaign=smbgolf,openseo,new,,yes
Fairway Golf,2431 Pacific Hwy,San Diego,CA,92101-1748,+1619-702-1702,https://fairwaygolfusa.com/,"openseo,ping",new,,yes
Fairway Golf Shop,5040 Convoy Street,San Diego,CA,92111-1628,858-268-1702,,ping,new,,yes
Presidio Club Fitting,300 Finley Rd,San Francisco,CA,94129,+1415-561-4661,https://www.presidiogolf.com/,openseo,new,,yes
Stanford University,51 Campus Drive,Stanford,CA,94305,6507240944,,ping,new,,yes
Valley Golf,26475 YNEZ RD,TEMECULA,CA,92591-4683,,,ping,new,,yes
The Golf Exchange,1860 W CARSON ST,TORRANCE,CA,90501-2849,,,ping,new,,yes
Fore Some Sports LLC,8104 Cortez Road West,BRADENTON,FL,34210-2421,19417942345,,ping,new,,yes
Golf Stuff,29620 HWY 27,DUNDEE,FL,33838-4289,,,ping,new,,yes
The Golf And Casual Shop,11900 S CLEVELAND AVE,FORT MYERS,FL,33907-2971,239-936-8753,,ping,new,,yes
The Golf Doctor RX,8300 SE Fazio Dr,Hobe Sound,FL,33455,+1772-900-4653,http://thegolfdoctorrx.com/,openseo,new,,yes
Club Masters LLC - Custom Golf Clubs Fitting,750 Northlake Blvd,Lake Park,FL,33403,+1561-622-9445,,openseo,new,,yes
Custom Fit Golf,4754 S Congress Ave,Lake Worth Beach,FL,33461,+1561-629-8723,https://www.customfitgolf.com/,openseo,new,,yes
Moon Golf,6300 N WICKHAM RD,MELBOURNE,FL,32940-2037,,,ping,new,,yes
Naples Golf Shop,,Naples,FL,,+1239-595-4955,http://www.naplesgolfshop.com/,openseo,new,,yes
Orlando Golf Academy,8701 WORLD CENTER DR,ORLANDO,FL,32821-6358,4072692419,,ping,new,,yes
Moon Golf,7100 FAIRWAY DR,PALM BEACH GARDENS,FL,33418-3779,,,ping,new,,yes
U S 1 Golf Center,4775 SOUTH US HIGHWAY 1,ROCKLEDGE,FL,32955-5416,321-632-5461,,ping,new,,yes
Nxgen Golf,8250 BEE RIDGE RD,SARASOTA,FL,34241-6311,941.278.1170,,ping,new,,yes
Golf Trader,8085 W MCNAB RD,TAMARAC,FL,33321-3254,,,ping,new,,yes
Golf Central,2690 W TORCH LAKE DR,THE VILLAGES,FL,32163-2003,,,ping,new,,yes
THE VILLAGES Custom Club Shop,133 Moyer Loop,The Villages,FL,32163,3522592080,,ping,new,,yes
Venice Golf Center,2371 E VENICE AVE,VENICE,FL,34292-2465,9414977910,,ping,new,,yes
1 Stop Golf Shop,3321 Lithia Pinecrest Rd,Valrico,FL,33596,+1813-655-0355,https://1stopgolfshopfl.com/,openseo,new,,yes
Stroke Savers At Steel Canyon Gc,460 MORGAN FALLS RD,ATLANTA,GA,30350-5800,,,ping,new,,yes
Five Iron Golf,675 W Peachtree St NE Ste 209,Atlanta,GA,30308,+1800-513-5153,https://fiveirongolf.com/locations/atlanta-midtown/?utm_source=local&utm_medium=organic&utm_campaign=ga&utm_content=atlanta,openseo,new,,yes
MadMax Golf LLC,2026 Bloomingdale St,Augusta,GA,30906,,,openseo,new,,yes
Oak Mountain Championship Gc LLC,409 BIRKDALE BLVD,CARROLLTON,GA,30116-6069,770-834-7065 ext 12,,ping,new,,yes
Golf Performance Lab @ HSHS,1225 Broadrick Drive,DALTON,GA,30720-2504,770-655-8757,,ping,new,,yes
Golf Fore Less,160 SHORTER AVE NW,ROME,GA,30165-2455,(706) 252-0664,,ping,new,,yes
Golf Fore Less,160 Shorter Avenue Northwest,Rome,GA,30165-2455,706-802-0042,,ping,new,,yes
Rwk golf,1501 Windy Hill Rd SE,Smyrna,GA,30080,+1470-345-8414,,openseo,new,,yes
Currahee Club,1 CURRAHEE CLUB DR,TOCCOA,GA,30577-9657,7068271000,,ping,new,,yes
Gotham Golftrain Academy,1 CURRAHEE CLUB DR,TOCCOA,GA,30577-9657,706-436-6096,,ping,new,,yes
The Range At Leon Springs,26254 I10 W STE 500,BOERNE,TX,78006,,,ping,new,,yes
5u Golf Center LLC,5945 College Street,Beaumont,TX,77707,4092320205,,ping,new,,yes
Mac Wylie Golf Center,26254 Interstate 10 West Frontage Road,Boerne,TX,78006,+1210-698-2244,https://www.macwyliegolf.com/,openseo,new,,yes
The Caddie Golf Shop LLC,1853 Briarcrest Drive,Bryan,TX,77802-3453,979-776-4653,,ping,new,,yes
The Golf Center,2538 GOLDEN BEAR DR,CARROLLTON,TX,75006-2309,,,ping,new,,yes
Short Game LLC,2205 FM 471,CASTROVILLE,TX,78009,,,ping,new,,yes
Axis Golf Academy & Fitting Ctr,12205 FRY RD,CYPRESS,TX,77433-3315,281-217-6704,,ping,new,,yes
Northwood Club,6524 ALPHA RD,DALLAS,TX,75240-3541,,,ping,new,,yes
Sellingers Power Golf Lp,4950 Belt Line Road,Dallas,TX,75254,(972) 788-2525,,ping,new,,yes
Golf Performance Group,4554 FM 2351 RD,FRIENDSWOOD,TX,77546-2820,7135869569,,ping,new,,yes
The Golf Ranch,610 N AUSTIN AVE,GEORGETOWN,TX,78626-4210,512-863-4573,,ping,new,,yes
Granbury Golf Etc,2461 E US HIGHWAY 377,GRANBURY,TX,76049-5923,,,ping,new,,yes
TOTAL GOLF PERFORMANCE  of Texas,18632 BANDERA RD,HELOTES,TX,78023-2800,2108634653,,ping,new,,yes
Marti Golf Center,12782 BEECHNUT ST,HOUSTON,TX,77072-3819,281-568-5297,,ping,new,,yes
Dr Golf LLC,20040 HIGHWAY 59 N,HUMBLE,TX,77338-2430,,,ping,new,,yes
Meadowbrook Farms Lp,23230 MEADOWBROOK FARMS CLUB DR,KATY,TX,77494-6580,281-693-4653,,ping,new,,yes
Wood Hollow Range Pro Shop,5200 MCCANN RD,LONGVIEW,TX,75605-2926,903-663-0036,,ping,new,,yes
Golf USA,6701 INDIANA AVE,LUBBOCK,TX,79413-6131,,,ping,new,,yes
Stripe Show Club Fitters,5020 50TH ST STE 115,LUBBOCK,TX,79414-3429,8062528347,,ping,new,,yes
Killer's Golf LLC,400 W NOLANA AVE STE A3,MCALLEN,TX,78504-3040,9564764653,,ping,new,,yes
The Courses At Watters Creek,7201 CHASE OAKS BLVD,PLANO,TX,75025-5902,972-517-3688,,ping,new,,yes
MK Golf Technologies,10412 GULFDALE ST,SAN ANTONIO,TX,78216-4129,,,ping,new,,yes
Summit Golf School LLC,18 Augusta Pines Drive,Spring,TX,77389-3590,281-516-1002,,ping,new,,yes
Summit Golf School LLC,19393 Champion Forest Drive,Spring,TX,77379-8519,832-639-8111,,ping,new,,yes
Gary Player Golf - The Refinery,8900 STERLING RIDGE DR,THE WOODLANDS,TX,77382-2748,,,ping,new,,yes
